AreaID,ManagedAreaName,ShortName,Region,Abbreviation
1,Alligator Harbor Aquatic Preserve,Alligator Harbor AP,NW,AHAP
2,Apalachicola Bay Aquatic Preserve,Apalachicola Bay AP,NW,ABAP
3,Apalachicola National Estuarine Research Reserve,Apalachicola NERR,NW,ANERR
4,Banana River Aquatic Preserve,Banana River AP,NE,BRAP
5,Big Bend Seagrasses Aquatic Preserve,Big Bend Seagrasses AP,NW,BBSAP
6,Biscayne Bay Aquatic Preserve,Biscayne Bay AP,SE,BBAP
7,Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve,Biscayne Bay-Cape Florida to Monroe County Line AP,SE,BBCFMCAP
8,Boca Ciega Bay Aquatic Preserve,Boca Ciega Bay AP,SW,BCBAP
9,Cape Haze Aquatic Preserve,Cape Haze AP,SW,CHAP
10,Cape Romano-Ten Thousand Islands Aquatic Preserve,Cape Romano-Ten Thousand Islands AP,SW,CRTTIAP
11,Cockroach Bay Aquatic Preserve,Cockroach Bay AP,SW,CKRBAP
12,Kristin Jacobs Coral Aquatic Preserve,Kristin Jacobs Coral AP,SE,KJCAP
13,Coupon Bight Aquatic Preserve,Coupon Bight AP,SE,CBAP
14,Estero Bay Aquatic Preserve,Estero Bay AP,SW,EBAP
15,Florida Keys National Marine Sanctuary,Florida Keys NMS,SE,FKNMS
16,Fort Clinch State Park Aquatic Preserve,Fort Clinch AP,NE,FCAP
17,Fort Pickens State Park Aquatic Preserve,Fort Pickens AP,NW,FPAP
18,Gasparilla Sound-Charlotte Harbor Aquatic Preserve,Gasparilla Sound-Charlotte Harbor AP,SW,GSCHAP
19,Guana River Marsh Aquatic Preserve,Guana River Marsh AP,NE,GRMAP
20,Guana Tolomato Matanzas National Estuarine Research Reserve,Guana Tolomato Matanzas NERR,NE,GTMNERR
21,Indian River-Malabar to Vero Beach Aquatic Preserve,Indian River-Malabar to Vero Beach AP,NE,IRMVBAP
22,Indian River-Vero Beach to Ft. Pierce Aquatic Preserve,Indian River-Vero Beach to Ft. Pierce AP,NE,IRVBFPAP
23,Jensen Beach to Jupiter Inlet Aquatic Preserve,Jensen Beach to Jupiter Inlet AP,NE,JBJIAP
25,Lemon Bay Aquatic Preserve,Lemon Bay AP,SW,LBAP
26,Lignumvitae Key Aquatic Preserve,Lignumvitae Key AP,SE,LKAP
27,Loxahatchee River-Lake Worth Creek Aquatic Preserve,Loxahatchee River-Lake Worth Creek AP,NE,LRLWCAP
28,Matlacha Pass Aquatic Preserve,Matlacha Pass AP,SW,MPAP
29,Mosquito Lagoon Aquatic Preserve,Mosquito Lagoon AP,NE,MLAP
30,Nassau River-St. Johns River Marshes Aquatic Preserve,Nassau River-St. Johns River Marshes AP,NE,NRSJRAP
31,North Fork St. Lucie Aquatic Preserve,North Fork St. Lucie AP,NE,NFSLRAP
33,Pellicer Creek Aquatic Preserve,Pellicer Creek AP,NE,PCRAP
34,Pine Island Sound Aquatic Preserve,Pine Island Sound AP,SW,PISAP
35,Pinellas County Aquatic Preserve,Pinellas County AP,SW,PCAP
37,Rocky Bayou State Park Aquatic Preserve,Rocky Bayou AP,NW,RBSPAP
38,Rookery Bay Aquatic Preserve,Rookery Bay AP,SW,RBAP
39,Rookery Bay National Estuarine Research Reserve,Rookery Bay NERR,SW,RBNERR
40,St. Andrews Aquatic Preserve,St. Andrews AP,NW,SAAP
41,St. Joseph Bay Aquatic Preserve,St. Joseph Bay AP,NW,SJBAP
42,St. Joseph Bay State Buffer Preserve,St. Joseph Buffer,NW,SJBSBP
43,St. Martins Marsh Aquatic Preserve,St. Martins Marsh AP,NW,SMMAP
44,Terra Ceia Aquatic Preserve,Terra Ceia AP,SW,TCAP
45,Tomoka Marsh Aquatic Preserve,Tomoka Marsh AP,NE,TMAP
47,Yellow River Marsh Aquatic Preserve,Yellow River Marsh AP,NW,YRMAP
48,Nature Coast Aquatic Preserve,Nature Coast AP,NW,NCAP
